,Make,Model,year,CC,distance,transmission,color,price
0,Chevrolet,Aveo,2012,1500,99000,manual,Silver,127000
1,Volkswagen,Jetta,2008,1500,200000,automatic,Silver,179000
2,Opel,Astra,2020,1500,57000,automatic,Silver,325000
3,Skoda,Octavia A5,2007,1600,150000,automatic,Gray,163000
4,Hyundai,Accent RB,2015,1600,135000,automatic,Black,190000
5,Hyundai,Accent RB,2011,1600,125000,automatic,Green,175000
6,Geely,Emgrand 7,2014,1600,91000,manual,Light grey,95000
7,Nissan,Sentra,2016,1600,103000,automatic,Gray,260000
8,Kia,Rio,2013,1400,165000,automatic,Silver,205000
9,Nissan,Sunny,2011,1600,150000,manual,Purple,140000
10,Kia,Cerato,2018,1600,95000,automatic,Black,320000
11,Chevrolet,Aveo,2009,1600,107000,automatic,Black,116000
12,Volvo,S60,2014,1600,87000,automatic,Black,300000
13,Peugeot,301,2014,1600,60000,automatic,Petroleum,160000
14,Hyundai,Verna,2017,1600,135000,manual,Silver,160000
15,Peugeot,508,2014,1600,200000,automatic,Cyan,250000
16,Nissan,Sentra,2018,1600,195000,automatic,Silver,260000
17,Daewoo,Lanos 2,2007,1500,167820,manual,Cyan,112000
18,Byd,F3,2020,1500,38000,manual,Light grey,180000
19,Nissan,Sunny,2015,1550,23000,automatic,Gray,225000
20,Mitsubishi,Lancer,1997,1500,250000,automatic,Dark green,80000
21,Speranza,A516,2009,1600,120000,manual,Dark red,65000
22,Lada,Granta,2018,1600,96000,manual,Silver,130000
23,Daewoo,Nubira 2,2005,1600,150000,manual,Black,75000
24,Hyundai,Accent,2011,1600,109000,automatic,Silver,160000
25,Mitsubishi,Lancer,2015,1600,92000,automatic,Light grey,273000
26,Peugeot,301,2015,1600,90000,automatic,Black,140000
27,Nissan,Sunny,2011,1600,76000,manual,Gold,150000
28,Daewoo,Lanos,2000,1500,250000,manual,White,60000
29,Renault,Logan,2010,1600,167000,manual,Red,100000
30,Chery,Envy,2017,1500,120000,manual,Red,130000
31,Hyundai,Accent,2010,1500,300000,automatic,Silver,120000
32,Daewoo,Nubira 2,1999,1600,100000,manual,Light grey,90000
33,Nissan,Sunny,2016,1600,103000,automatic,Light grey,155000
34,Kia,Cerato,2010,1600,168000,automatic,Black,178000
35,Nissan,Sunny,2014,1600,200000,automatic,Black,145000
36,Hyundai,Verna,2006,1600,370000,manual,Dark blue,87000
37,Volkswagen,Jetta,2008,1600,168000,automatic,Silver,168000
38,Lada,Granta,2019,1600,90000,manual,Light grey,110000
39,Chery,Arrizo 5,2020,1500,68500,manual,Red,180000
40,Fiat,Tipo,2020,1600,48000,automatic,Red,270000
41,Toyota,Corolla,2007,1600,130000,manual,Silver,190000
42,Speranza,A620 || A620,2011,1600,128000,automatic,Black,135000
43,Hyundai,Verna,2011,1600,200000,manual,Red,89000
44,Nissan,Sunny,2014,1600,150000,automatic,Black,160000
45,Chevrolet,Aveo,2011,1500,287000,manual,Silver,110000
46,Mitsubishi,Lancer,2008,1600,135000,manual,Dark red,140000
47,Renault,Megane,2006,1600,200000,automatic,Dark green,92000
48,Kia,Cerato,2010,1600,165000,automatic,Eggplant,185000
49,Daewoo,Nubira 2,2008,1600,90000,manual,Cyan,110000
50,Toyota,Corolla,2013,1600,120000,automatic,Black,295000
51,Nissan,Sentra,2019,1600,50000,automatic,Gray,295000
52,Speranza,Envy,2018,1600,15000,manual,Silver,125000
53,Mitsubishi,Lancer,2010,1500,46000,automatic,Silver,265000
54,Chevrolet,Aveo,2014,1600,92000,automatic,Dark red,160000
55,Hyundai,Accent,1999,1500,199999,manual,Gold,43000
56,Byd,F3,2019,1500,85000,manual,Dark red,159000
57,Toyota,Corolla,2019,1600,8000,automatic,Petroleum,198000
58,Hyundai,XD,2002,1600,28000,automatic,Silver,120000
59,Fiat,Siena,2001,1400,145000,manual,Silver,50000
60,Opel,Astra,2019,1400,48000,automatic,White,290000
61,Toyota,Corolla,2010,1600,280000,automatic,White,220000
62,Hyundai,Solaris,2017,1400,100000,automatic,Red,280000
63,Nissan,Sunny,2013,1500,119000,automatic,Bronze,150000
64,Soueast,V3,2009,1500,62000,manual,Light grey,110000
65,Nissan,Sunny,2020,1500,95000,automatic,Gray,210000
66,Volkswagen,Jetta,2008,1600,150000,automatic,Black,225000
67,Volkswagen,Passat,2015,1600,160000,automatic,Petroleum,325000
68,Chevrolet,Aveo,2012,1500,96000,manual,Silver,120000
69,Fiat,Petra,2004,1600,198000,manual,Light grey,55000
70,Byd,F3,2015,1500,85000,automatic,Black,130000
71,Hyundai,Verna,2011,1600,149000,manual,Black,125000
72,Daewoo,Lanos,1999,1500,297000,manual,Gray,74000
73,Skoda,Fantasia,2010,1600,190000,automatic,Blue,170000
74,Hyundai,Elantra HD,2019,1600,100000,automatic,Gray,255000
